StartTime;EndTime;Activity
04/12/2011 18:08;04/12/2011 18:57;Spare_Time/TV
04/12/2011 18:58;04/12/2011 18:59;Toileting
04/12/2011 18:59;04/12/2011 18:59;Snack
04/12/2011 19:00;04/12/2011 22:20;Spare_Time/TV
04/12/2011 22:21;04/12/2011 22:22;Toileting
04/12/2011 22:22;05/12/2011 01:28;Spare_Time/TV
05/12/2011 01:31;05/12/2011 01:31;Grooming
05/12/2011 01:35;05/12/2011 11:48;Sleeping
05/12/2011 11:53;05/12/2011 11:53;Toileting
05/12/2011 11:57;05/12/2011 11:57;Grooming
05/12/2011 12:01;05/12/2011 12:08;Showering
05/12/2011 12:14;05/12/2011 12:24;Breakfast
05/12/2011 13:46;05/12/2011 14:26;Spare_Time/TV
05/12/2011 14:28;05/12/2011 14:28;Grooming
05/12/2011 14:38;05/12/2011 14:55;Leaving
05/12/2011 14:57;05/12/2011 15:40;Lunch
05/12/2011 15:42;05/12/2011 15:43;Grooming
05/12/2011 15:44;05/12/2011 15:44;Toileting
05/12/2011 15:44;05/12/2011 16:02;Spare_Time/TV
05/12/2011 16:06;05/12/2011 16:36;Toileting
05/12/2011 16:37;05/12/2011 17:14;Spare_Time/TV
05/12/2011 17:17;05/12/2011 18:57;Leaving
05/12/2011 19:01;05/12/2011 19:24;Spare_Time/TV
05/12/2011 19:24;05/12/2011 19:24;Snack
05/12/2011 19:24;05/12/2011 20:07;Spare_Time/TV
05/12/2011 20:07;05/12/2011 20:07;Grooming
05/12/2011 20:08;05/12/2011 20:08;Toileting
05/12/2011 20:09;05/12/2011 21:06;Spare_Time/TV
05/12/2011 21:06;05/12/2011 21:06;Toileting
05/12/2011 21:06;05/12/2011 21:07;Grooming
05/12/2011 21:07;06/12/2011 00:38;Spare_Time/TV
06/12/2011 00:39;06/12/2011 00:40;Toileting
06/12/2011 00:42;06/12/2011 10:07;Sleeping
06/12/2011 11:08;06/12/2011 11:08;Toileting
06/12/2011 11:09;06/12/2011 11:11;Grooming
06/12/2011 11:12;06/12/2011 11:25;Showering
06/12/2011 11:30;06/12/2011 11:35;Breakfast
06/12/2011 11:39;06/12/2011 14:37;Spare_Time/TV
06/12/2011 14:40;06/12/2011 15:15;Lunch
06/12/2011 15:18;06/12/2011 15:20;Grooming
06/12/2011 15:21;06/12/2011 17:11;Spare_Time/TV
06/12/2011 17:13;06/12/2011 17:19;Toileting
06/12/2011 17:19;06/12/2011 18:06;Spare_Time/TV
06/12/2011 18:07;06/12/2011 18:07;Grooming
06/12/2011 18:07;06/12/2011 19:22;Spare_Time/TV
06/12/2011 19:22;06/12/2011 19:22;Snack
06/12/2011 19:25;06/12/2011 19:26;Grooming
06/12/2011 19:40;07/12/2011 00:07;Spare_Time/TV
07/12/2011 00:07;07/12/2011 00:07;Grooming
07/12/2011 00:08;07/12/2011 00:54;Spare_Time/TV
07/12/2011 00:57;07/12/2011 00:57;Toileting
07/12/2011 00:59;07/12/2011 10:45;Sleeping
07/12/2011 10:46;07/12/2011 10:49;Toileting
07/12/2011 10:50;07/12/2011 11:04;Grooming
07/12/2011 11:05;07/12/2011 11:11;Showering
07/12/2011 11:12;07/12/2011 11:20;Breakfast
07/12/2011 11:22;07/12/2011 13:56;Spare_Time/TV
07/12/2011 14:03;07/12/2011 14:39;Lunch
07/12/2011 14:41;07/12/2011 15:28;Spare_Time/TV
07/12/2011 15:31;07/12/2011 15:31;Grooming
07/12/2011 15:31;07/12/2011 15:31;Toileting
07/12/2011 15:32;07/12/2011 16:11;Spare_Time/TV
07/12/2011 16:15;07/12/2011 16:21;Grooming
07/12/2011 16:25;07/12/2011 18:12;Leaving
07/12/2011 18:14;07/12/2011 18:14;Grooming
07/12/2011 18:15;07/12/2011 18:15;Toileting
07/12/2011 18:15;07/12/2011 19:21;Spare_Time/TV
07/12/2011 19:23;07/12/2011 19:28;Snack
07/12/2011 20:37;07/12/2011 20:38;Snack
07/12/2011 20:39;07/12/2011 20:39;Toileting
07/12/2011 20:40;07/12/2011 20:42;Spare_Time/TV
07/12/2011 20:52;07/12/2011 23:19;Spare_Time/TV
07/12/2011 23:19;07/12/2011 23:19;Toileting
07/12/2011 23:20;08/12/2011 01:32;Spare_Time/TV
08/12/2011 01:39;08/12/2011 11:14;Sleeping
08/12/2011 11:17;08/12/2011 11:17;Grooming
08/12/2011 11:17;08/12/2011 11:17;Toileting
08/12/2011 11:18;08/12/2011 11:18;Grooming
08/12/2011 11:19;08/12/2011 11:24;Showering
08/12/2011 11:25;08/12/2011 11:34;Breakfast
08/12/2011 11:36;08/12/2011 13:41;Spare_Time/TV
08/12/2011 14:04;08/12/2011 14:05;Grooming
08/12/2011 14:10;08/12/2011 16:21;Leaving
08/12/2011 16:24;08/12/2011 22:13;Spare_Time/TV
08/12/2011 22:13;08/12/2011 22:13;Grooming
08/12/2011 22:14;08/12/2011 23:12;Spare_Time/TV
08/12/2011 23:14;08/12/2011 23:14;Grooming
08/12/2011 23:14;09/12/2011 01:03;Spare_Time/TV
09/12/2011 01:04;09/12/2011 01:05;Grooming
09/12/2011 01:16;09/12/2011 10:49;Sleeping
09/12/2011 10:51;09/12/2011 10:52;Toileting
09/12/2011 10:52;09/12/2011 10:52;Grooming
09/12/2011 10:54;09/12/2011 10:58;Showering
09/12/2011 11:00;09/12/2011 11:08;Breakfast
09/12/2011 11:09;09/12/2011 12:32;Spare_Time/TV
09/12/2011 12:33;09/12/2011 12:42;Grooming
09/12/2011 12:44;09/12/2011 16:33;Leaving
09/12/2011 16:45;09/12/2011 16:59;Spare_Time/TV
09/12/2011 17:01;09/12/2011 17:04;Toileting
09/12/2011 17:06;09/12/2011 17:59;Spare_Time/TV
09/12/2011 17:59;09/12/2011 17:59;Grooming
09/12/2011 18:02;09/12/2011 18:19;Spare_Time/TV
09/12/2011 18:32;09/12/2011 18:48;Leaving
09/12/2011 19:19;09/12/2011 21:04;Spare_Time/TV
09/12/2011 21:04;09/12/2011 21:04;Grooming
09/12/2011 21:04;10/12/2011 00:16;Spare_Time/TV
10/12/2011 00:16;10/12/2011 00:16;Grooming
10/12/2011 00:17;10/12/2011 00:46;Spare_Time/TV
10/12/2011 00:50;10/12/2011 09:26;Sleeping
10/12/2011 09:28;10/12/2011 09:35;Toileting
10/12/2011 09:37;10/12/2011 09:46;Grooming
10/12/2011 09:47;10/12/2011 09:52;Showering
10/12/2011 09:55;10/12/2011 10:02;Breakfast
10/12/2011 10:03;10/12/2011 12:34;Spare_Time/TV
10/12/2011 12:52;10/12/2011 12:53;Grooming
10/12/2011 13:04;10/12/2011 17:07;Leaving
10/12/2011 17:11;10/12/2011 20:16;Spare_Time/TV
10/12/2011 20:21;10/12/2011 20:23;Grooming
10/12/2011 20:25;11/12/2011 00:56;Leaving
11/12/2011 01:01;11/12/2011 02:26;Spare_Time/TV
11/12/2011 02:27;11/12/2011 02:28;Grooming
11/12/2011 02:31;11/12/2011 11:57;Sleeping
11/12/2011 11:58;11/12/2011 12:01;Toileting
11/12/2011 12:02;11/12/2011 12:02;Grooming
11/12/2011 12:02;11/12/2011 12:18;Showering
11/12/2011 12:21;11/12/2011 12:30;Breakfast
11/12/2011 12:32;11/12/2011 14:26;Spare_Time/TV
11/12/2011 14:34;11/12/2011 15:26;Lunch
11/12/2011 15:28;11/12/2011 15:30;Toileting
11/12/2011 15:41;11/12/2011 15:43;Grooming
11/12/2011 15:43;11/12/2011 21:41;Spare_Time/TV
